Agriculture,Food
Fishing,Food
Mining and Quarrying,Goods
Food & Beverages,Food
Textiles and Wearing Apparel,Goods
Wood and Paper,Goods
"Petroleum, Chemical and Non-Metallic Mineral Products",Goods
Metal Products,Goods
Electrical and Machinery,Goods
Transport Equipment,Transport
Other Manufacturing,Goods
Recycling,Services
"Electricity, Gas and Water",Services
Construction,Goods
Maintenance and Repair,Services
Wholesale Trade,Services
Retail Trade,Services
Hotels and Restraurants,Services
Transport,Transport
Post and Telecommunications,Services
Finacial Intermediation and Business Activities,Services
Public Administration,Services
"Education, Health and Other Services",Services
Private Households,Goods
Others,Others
Re-export & Re-import,Goods
